Year,State,State Initials,Democratic,Libertarian,Other,Republican,Region,Winner
2000,SOUTH CAROLINA,SC,566037,4760,26213,786892,South,Republican
2000,SOUTH DAKOTA,SD,118804,1662,5103,190700,Midwest,Republican
2000,TENNESSEE,TN,981720,0,32512,1061949,South,Republican
2000,TEXAS,TX,2433746,23160,151092,3799639,South,Republican
2000,UTAH,UT,203053,3616,48989,515096,West,Republican
2000,VERMONT,VT,149022,784,24727,119775,Northeast,Democratic
2000,VIRGINIA,VA,1217290,15198,69469,1437490,South,Republican
2000,WASHINGTON,WA,1247652,13135,117782,1108864,West,Democratic
2000,WEST VIRGINIA,WV,295497,1912,14240,336475,South,Republican
2000,WISCONSIN,WI,1242987,6640,111701,1237279,Midwest,Democratic
2000,WYOMING,WY,60481,1443,3855,147947,West,Republican
2004,ALABAMA,AL,693933,0,13088,1176394,South,Republican
2004,ALASKA,AK,111025,1675,9009,190889,West,Republican
2004,ARIZONA,AZ,893524,11856,2911,1104294,West,Republican
2004,ARKANSAS,AR,469953,2352,9742,572898,South,Republican
2004,CALIFORNIA,CA,6745485,50165,115877,5509826,West,Democratic
2004,COLORADO,CO,1001732,7664,18979,1101255,West,Republican
2004,CONNECTICUT,CT,857488,3367,24088,693826,Northeast,Democratic
2004,DELAWARE,DE,200152,586,2792,171660,South,Democratic
2004,DISTRICT OF COLUMBIA,DC,202970,502,2858,21256,South,Democratic
2004,FLORIDA,FL,3583544,11996,49748,3964522,South,Republican
2004,GEORGIA,GA,1366149,18387,3085,1914254,South,Republican
2004,HAWAII,HI,231708,1377,1737,194191,West,Democratic
2004,IDAHO,ID,181098,3844,4199,409235,West,Republican
2004,ILLINOIS,IL,2891550,32442,4384,2345946,Midwest,Democratic
2004,INDIANA,IN,969011,18058,1495,1479438,Midwest,Republican
2004,IOWA,IA,741898,2992,10061,751957,Midwest,Republican
2004,KANSAS,KS,434993,4013,12294,736456,Midwest,Republican
2004,KENTUCKY,KY,712733,2619,11091,1069439,South,Republican
2004,LOUISIANA,LA,820299,2781,17857,1102169,South,Republican
2004,MAINE,ME,396842,1965,11744,330201,Northeast,Democratic
2004,MARYLAND,MD,1334500,6094,18941,1024703,South,Democratic
2004,MASSACHUSETTS,MA,1803800,15022,37524,1071109,Northeast,Democratic
2004,MICHIGAN,MI,2479183,10552,35771,2313746,Midwest,Democratic
2004,MINNESOTA,MN,1445014,4639,32039,1346695,Midwest,Democratic
2004,MISSISSIPPI,MS,457766,1793,7605,672660,South,Republican
2004,MISSOURI,MO,1259171,9831,6649,1455713,Midwest,Republican
2004,MONTANA,MT,173710,1733,8928,266063,West,Republican
2004,NEBRASKA,NE,254328,2041,9003,512814,Midwest,Republican
2004,NEVADA,NV,397190,3176,10531,418690,West,Republican
2004,NEW HAMPSHIRE,NH,340511,0,6539,331237,Northeast,Democratic
2004,NEW JERSEY,NJ,1911430,0,30258,1670003,Northeast,Democratic
2004,NEW MEXICO,NM,370942,2382,6050,376930,West,Republican
2004,NEW YORK,NY,4180755,11607,448911,2806993,Northeast,Democratic
2004,NORTH CAROLINA,NC,1525849,11731,2261,1961166,South,Republican
2004,NORTH DAKOTA,ND,111052,851,4279,196651,Midwest,Republican
2004,OHIO,OH,2741165,0,26974,2859764,Midwest,Republican
2004,OKLAHOMA,OK,503966,0,0,959792,South,Republican
2004,OREGON,OR,943163,7260,19528,866831,West,Democratic
2004,PENNSYLVANIA,PA,2938095,21185,16463,2793847,Northeast,Democratic
2004,RHODE ISLAND,RI,259760,907,7421,169046,Northeast,Democratic
2004,SOUTH CAROLINA,SC,661669,3608,14449,937974,South,Republican
2004,SOUTH DAKOTA,SD,149244,964,5423,232584,Midwest,Republican
2004,TENNESSEE,TN,1036477,0,16467,1384375,South,Republican
2004,TEXAS,TX,2832704,38787,12341,4526917,South,Republican
2004,UTAH,UT,241199,3375,19528,663742,West,Republican
2004,VERMONT,VT,184067,1102,5960,121180,Northeast,Democratic
2004,VIRGINIA,VA,1454742,11032,12682,1716959,South,Republican
2004,WASHINGTON,WA,1510201,11955,32034,1304894,West,Democratic
2004,WEST VIRGINIA,WV,326541,1405,4068,423778,South,Republican
2004,WISCONSIN,WI,1489504,6464,22919,1478120,Midwest,Democratic
